Date,Label,subjectivity,objectivity,sentiment
2008-08-08,0,-0.083896965,1.083897,-0.2437656
2008-08-11,1,0.3362081,0.6637919,-0.10454029
2008-08-12,0,0.16331919,0.8366808,-0.508389
2008-08-13,0,0.11056545,0.8894346,-0.41150093
2008-08-14,1,0.4142767,0.5857233,-0.6829887
2008-08-15,1,0.03105411,0.96894586,-0.38525918
2008-08-18,0,0.32242316,0.67757684,-0.6500092
2008-08-19,0,0.5239678,0.4760322,-0.30851784
2008-08-20,1,0.6440997,0.3559003,-0.55396557
2008-08-21,1,0.29289407,0.70710593,0.19787794
2008-08-22,1,0.16918528,0.8308147,-0.14261374
2008-08-25,0,0.5031251,0.49687493,-0.53113186
2008-08-26,1,0.2551518,0.7448482,-0.4697368
2008-08-27,1,0.2259224,0.7740776,-0.27816638
2008-08-28,1,-0.023935392,1.0239354,-0.44963577
2008-08-29,0,0.55676377,0.44323623,-0.348525
2008-09-02,0,0.13361235,0.86638767,-0.15487632
2008-09-03,1,-0.1268014,1.1268014,-0.48205596
2008-09-04,0,0.32355827,0.6764417,-0.6531128
2008-09-05,1,0.20648038,0.7935196,-0.5508379
2008-09-08,1,0.13967107,0.8603289,-0.34736168
2008-09-09,0,0.15230209,0.8476979,-0.62990963
2008-09-10,1,0.3102308,0.6897692,-0.12151316
2008-09-11,1,-0.04037121,1.0403712,-0.36988717
2008-09-12,0,0.43002653,0.56997347,-0.08547953
2008-09-15,0,0.2050884,0.7949116,-0.30188483
2008-09-16,1,0.040848136,0.95915186,-0.37228465
2008-09-17,0,0.6088679,0.39113212,-0.12191853
2008-09-18,1,-0.09701574,1.0970157,-0.51307535
2008-09-19,1,0.2926586,0.70734143,-0.14477867
2008-09-22,0,0.2806105,0.7193895,-0.43261912
2008-09-23,0,0.22565189,0.77434814,-0.24492648
2008-09-24,0,0.17293963,0.82706034,-0.45923924
2008-09-25,1,0.14853704,0.85146296,-0.3973218
2008-09-26,1,-0.08938868,1.0893887,-0.85874957
2008-09-29,0,0.6815824,0.3184176,-0.37917373
2008-09-30,1,-0.060324706,1.0603247,-0.12589087
2008-10-01,0,0.09794908,0.9020509,-0.3777176
2008-10-02,0,0.55551946,0.44448054,-0.6388807
2008-10-03,0,0.21077713,0.78922284,-0.8068689
2008-10-06,0,0.027232364,0.97276765,-0.15844682
2008-10-07,0,0.561527,0.438473,-0.66493297
2008-10-08,0,0.1597634,0.8402366,-0.76820207
